,Artists,Titles,Lyrics(BOW)
53,radiohead,no surprises,"['A', 'heart', 'that', ""'s"", 'full', 'up', 'like', 'a', 'landfil', 'A', 'job', 'that', 'slowli', 'kill', 'you', 'bruis', 'that', 'wo', ""n't"", 'heal', 'you', 'look', 'so', 'tire', 'unhappi', 'bring', 'down', 'the', 'govern', 'they', 'do', ""n't"", 'they', 'do', ""n't"", 'speak', 'for', 'us', 'I', ""'ll"", 'take', 'a', 'quiet', 'life', 'A', 'handshak', 'of', 'carbon', 'monoxid', 'No', 'alarm', 'and', 'no', 'surpris', 'No', 'alarm', 'and', 'no', 'surpris', 'No', 'alarm', 'and', 'no', 'surpris', 'silent', 'silent', 'thi', 'is', 'my', 'final', 'fit', 'My', 'final', 'bellyach', 'with', 'No', 'alarm', 'and', 'no', 'surpris', 'No', 'alarm', 'and', 'no', 'surpris', 'No', 'alarm', 'and', 'no', 'surpris', 'pleas', 'such', 'a', 'pretti', 'hous', 'and', 'such', 'a', 'pretti', 'garden', 'No', 'alarm', 'and', 'no', 'surpris', 'No', 'alarm', 'and', 'no', 'surpris', 'No', 'alarm', 'and', 'no', 'surpris', 'pleas']"
54,the cranberries,zombie,"['anoth', 'head', 'hang', 'lowli', 'child', 'is', 'slowli', 'taken', 'and', 'the', 'violenc', 'caus', 'such', 'silenc', 'who', 'are', 'we', 'mistaken', '?', 'but', 'you', 'see', 'it', ""'s"", 'not', 'me', 'It', ""'s"", 'not', 'my', 'famili', 'In', 'your', 'head', 'in', 'your', 'head', 'they', 'are', 'fight', 'with', 'their', 'tank', 'and', 'their', 'bomb', 'and', 'their', 'bomb', 'and', 'their', 'gun', 'In', 'your', 'head', 'in', 'your', 'head', 'they', 'are', 'cri', 'In', 'your', 'head', 'in', 'your', 'head', 'zombi', 'zombi', 'zombie-ie-i', 'what', ""'s"", 'in', 'your', 'head', '?', 'In', 'your', 'head', 'zombi', 'zombi', 'zombie-ie-ie-i', 'oh', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'doo', 'anoth', 'mother', ""'s"", 'break', 'heart', 'is', 'take', 'over', 'when', 'the', 'violenc', 'caus', 'silenc', 'We', 'must', 'be', 'mistaken', 'It', ""'s"", 'the', 'same', 'old', 'theme', 'sinc', '1916', 'In', 'your', 'head', 'in', 'your', 'head', 'they', ""'re"", 'still', 'fight', 'with', 'their', 'tank', 'and', 'their', 'bomb', 'and', 'their', 'bomb', 'and', 'their', 'gun', 'In', 'your', 'head', 'in', 'your', 'head', 'they', 'are', 'die', 'In', 'your', 'head', 'in', 'your', 'head', 'zombi', 'zombi', 'zombie-ie-i', 'what', ""'s"", 'in', 'your', 'head', '?', 'In', 'your', 'head', 'zombi', 'zombi', 'zombie-ie-ie-i', 'Oh', 'oh', 'oh', 'oh', 'Oh', 'oh', 'oh', 'ay-oh', 'yah', 'yah', 'ow']"
55,Michael Kiwanuka,cold little heart,"['did', 'you', 'ever', 'want', 'it', '?', 'did', 'you', 'want', 'bad', '?', 'Oh', 'my', 'it', 'tear', 'me', 'apart', 'did', 'you', 'ever', 'fight', 'it', '?', 'all', 'of', 'the', 'pain', 'so', 'much', 'power', 'run', 'through', 'my', 'vein', '.', 'bleed', 'I', ""'m"", 'bleed', '!', 'My', 'cold', 'littl', 'heart', '...', 'Oh', 'I', '...', 'I', 'ca', ""n't"", 'stand', 'myself', '.', 'and', 'I', 'know', 'in', 'my', 'heart', 'in', 'thi', 'cold', 'heart', 'I', 'can', 'live', 'or', 'I', 'can', 'die', 'I', 'believ', 'if', 'I', 'just', 'tri', '...', 'you', 'believ', 'in', 'you', 'and', 'I', '...', 'In', 'you', 'and', 'I', '...', 'In', 'you', 'and', 'I', '...', 'In', 'you', 'and', 'I', '...', 'did', 'you', 'ever', 'notic', 'I', ""'ve"", 'been', 'asham', '?', 'all', 'my', 'life', 'I', ""'ve"", 'been', 'play', 'game', 'We', 'can', 'tri', 'and', 'hide', 'it', 'it', ""'s"", 'all', 'the', 'same', '.', 'I', ""'ve"", 'been', 'lose', 'you', 'one', 'day', 'at', 'a', 'time', '.', 'bleed', 'I', ""'m"", 'bleed', '!', 'My', 'cold', 'littl', 'heart', '...', 'Oh', 'I', '...', 'I', 'ca', ""n't"", 'stand', 'myself', '.', 'and', 'I', 'know', 'in', 'my', 'heart', 'in', 'thi', 'cold', 'heart', 'I', 'can', 'live', 'or', 'I', 'can', 'die', 'I', 'believ', 'if', 'I', 'just', 'tri', '...', 'you', 'believ', 'in', 'you', 'and', 'I', '...', 'and', 'I', 'know', 'in', 'my', 'heart', 'in', 'thi', 'cold', 'heart', 'I', 'can', 'live', 'or', 'I', 'can', 'die', 'I', 'believ', 'if', 'I', 'just', 'tri', '...', 'you', 'believ', 'in', 'you', 'and', 'I', '...', 'In', 'you', 'and', 'I', '...', 'In', 'you', 'and', 'I', '...', 'In', 'you', 'and', 'I', '...', 'In', 'you', 'and', 'I', '...', 'In', 'you', 'and', 'I', '...', 'In', 'you', 'and', 'I', '...', 'In', 'you', 'and', 'I', '...', 'mayb', 'thi', 'time', 'I', 'can', 'be', 'strong', '...', 'but', 'sinc', 'I', 'know', 'who', 'I', 'am', 'I', ""'m"", 'probabl', 'wrong', '.', 'mayb', 'thi', 'time', 'I', 'can', 'go', 'far', '...', 'but', 'think', 'about', 'where', 'I', ""'ve"", 'been', 'ai', ""n't"", 'help', 'me', 'start', '.']"
56,london grammar,wasting my young years,"['you', 'cross', 'thi', 'line', 'Do', 'you', 'find', 'it', 'hard', 'to', 'sit', 'with', 'me', 'tonight', '?', 'I', ""'ve"", 'walk', 'these', 'mile', 'but', 'I', ""'ve"", 'walk', ""'em"", 'straight', 'line', 'you', ""'ll"", 'never', 'know', 'what', 'wa', 'like', 'to', 'be', 'fine', 'I', ""'m"", 'wast', 'my', 'young', 'year', 'It', 'doe', ""n't"", 'matter', 'I', ""'m"", 'chase', 'old', 'idea', 'It', 'doe', ""n't"", 'matter', 'mayb', '...', 'We', 'are', 'We', 'are', 'mayb', 'I', ""'m"", 'wast', 'my', 'young', 'year', 'mayb', '...', 'We', 'are', 'We', 'are', 'mayb', 'I', ""'m"", 'wast', 'my', 'young', 'year', 'Do', ""n't"", 'you', 'know', 'that', 'it', ""'s"", 'onli', 'fear', 'and', 'I', 'would', ""n't"", 'worri', 'you', 'have', 'all', 'your', 'life', 'I', ""'ve"", 'heard', 'it', 'take', 'some', 'time', 'to', 'get', 'it', 'right', 'I', ""'m"", 'wast', 'my', 'young', 'year', 'It', 'doe', ""n't"", 'matter', 'I', ""'m"", 'chase', 'old', 'idea', 'It', 'doe', ""n't"", 'matter', 'mayb', '...', 'We', 'are', 'We', 'are', 'mayb', 'I', ""'m"", 'wast', 'my', 'young', 'year', 'mayb', '...', 'We', 'are', 'We', 'are', 'mayb', 'I', ""'m"", 'wast', 'my', 'young', 'year', 'I', 'do', ""n't"", 'know', 'what', 'you', 'are', 'Do', ""n't"", 'leav', 'me', 'hang', 'on', 'Do', ""n't"", 'know', 'what', 'you', 'are', 'Do', ""n't"", 'leav', 'me', 'hang', 'on']"
57,bob marley,three little birds,"['Do', ""n't"", 'worri', 'about', 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '.', 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '!', 'rise', 'up', 'thi', 'mornin', ""'"", 'smile', 'with', 'the', 'risin', ""'"", 'sun', '3', 'littl', 'bird', 'pitch', 'by', 'my', 'doorstep', 'singin', ""'"", 'sweet', 'song', 'Of', 'melodi', 'pure', 'and', 'true', 'sayin', ""'"", '(', '``', 'thi', 'is', 'my', 'messag', 'to', 'you-ou-', ':', ""''"", ')', 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', ""'bout"", 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '.', ""''"", 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', '(', 'do', ""n't"", 'worri', ')', ""'bout"", 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '!', ""''"", 'rise', 'up', 'thi', 'mornin', ""'"", 'smile', 'with', 'the', 'risin', ""'"", 'sun', '3', 'littl', 'bird', 'pitch', 'by', 'my', 'doorstep', 'singin', ""'"", 'sweet', 'song', 'Of', 'melodi', 'pure', 'and', 'true', 'sayin', ""'"", '``', 'thi', 'is', 'my', 'messag', 'to', 'you-ou-', ':', ""''"", 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', 'worri', 'about', 'a', 'thing', 'oh', '!', 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '.', 'Do', ""n't"", 'worri', '!', ""''"", 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', ""''"", '-', 'I', 'wo', ""n't"", 'worri', '!', '``', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '.', ""''"", 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', ""''"", '-', 'I', 'wo', ""n't"", 'worri', '!', 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '.', ""''"", 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', 'oh', 'no', '!', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '!', 'By', 'bob', 'marley']"
58,laura mvula,overcome,"['when', 'your', 'heart', 'is', 'broken', 'down', 'down', 'down', 'and', 'your', 'head', 'do', ""n't"", 'reach', 'the', 'sky', 'take', 'your', 'broken', 'wing', 'and', 'fli', 'when', 'your', 'head', 'is', 'hang', 'low', 'low', 'low', 'and', 'the', 'tear', 'they', 'keep', 'fall', 'take', 'your', 'broken', 'feet', 'and', 'run', 'with', 'the', 'world', 'up', 'on', 'your', 'shoulder', 'nowher', 'left', 'to', 'hide', 'keep', 'your', 'head', 'up', 'carri', 'on', 'It', 'ai', ""n't"", 'no', 'time', 'to', 'die', 'die', 'even', 'though', 'we', 'suffer', 'come', 'togeth', 'be', 'brave', 'come', 'togeth', 'all', 'god', ""'s"", 'children', 'come', ""'round"", 'the', 'mountain', 'all', 'god', ""'s"", 'children', 'run', ""'round"", 'the', 'mountain', 'all', 'god', ""'s"", 'children', 'run', ""'round"", 'the', 'mountain', 'all', 'god', ""'s"", 'children', 'run', '(', 'all', 'god', ""'s"", 'children', 'run', ""'round"", 'the', 'mountain', 'run', ')', ""'round"", 'the', 'mountain', 'all', 'god', ""'s"", 'children', 'run', '(', 'all', 'god', ""'s"", 'children', 'run', ""'round"", 'the', 'mountain', 'run', ')', ""'round"", 'the', 'mountain', 'all', 'god', ""'s"", 'children', 'run', '(', 'all', 'god', ""'s"", 'children', 'run', ""'round"", 'the', 'mountain', 'run', ')', ""'round"", 'the', 'mountain', 'all', 'god', ""'s"", 'children', 'run', '(', 'all', 'god', ""'s"", 'children', 'run', ""'round"", 'the', 'mountain', 'run', ')', ""'round"", 'the', 'mountain', 'all', 'god', ""'s"", 'children', 'run', '(', 'all', 'god', ""'s"", 'children', 'run', ""'round"", 'the', 'mountain', 'run', ')']"
59,childish gambino,redbone,"['daylight', 'I', 'wake', 'up', 'feel', 'like', 'you', 'wo', ""n't"", 'play', 'right', 'I', 'use', 'to', 'know', 'but', 'now', 'that', 'shit', 'do', ""n't"", 'feel', 'right', 'It', 'made', 'me', 'put', 'away', 'my', 'pride', 'So', 'long', 'you', 'made', 'a', 'nigga', 'wait', 'for', 'some', 'so', 'long', 'you', 'make', 'it', 'hard', 'for', 'a', 'boy', 'like', 'that', 'to', 'go', 'wrong', 'I', ""'m"", 'wish', 'I', 'could', 'make', 'thi', 'mine', 'oh', 'If', 'you', 'want', 'it', 'yeah', 'you', 'can', 'have', 'it', 'oh', 'oh', 'oh', 'If', 'you', 'need', 'it', 'oooh', 'We', 'can', 'make', 'it', 'oh', 'If', 'you', 'want', 'it', 'you', 'can', 'have', 'it', 'but', 'stay', 'woke', 'nigga', 'creepin', ""'"", 'they', 'gon', ""'"", 'find', 'you', 'gon', ""'"", 'catch', 'you', 'sleepin', ""'"", '(', 'oooh', ')', 'now', 'stay', 'woke', 'nigga', 'creepin', ""'"", 'now', 'do', ""n't"", 'you', 'close', 'your', 'eye', 'too', 'late', 'you', 'wan', 'na', 'make', 'it', 'right', 'but', 'now', 'it', ""'s"", 'too', 'late', 'My', 'peanut', 'butter', 'chocol', 'cake', 'with', 'kool-aid', 'I', ""'m"", 'tri', 'not', 'to', 'wast', 'my', 'time', 'If', 'you', 'want', 'it', 'oh', 'you', 'can', 'have', 'it', 'you', 'can', 'have', 'it', 'If', 'you', 'need', 'it', 'you', 'better', 'believ', 'in', 'someth', 'We', 'can', 'make', 'it', 'If', 'you', 'want', 'it', 'you', 'can', 'have', 'it', 'aaaaah', '!', 'but', 'stay', 'woke', 'nigga', 'creepin', ""'"", 'they', 'gon', ""'"", 'find', 'you', 'gon', ""'"", 'catch', 'you', 'sleepin', ""'"", 'put', 'your', 'hand', 'up', 'on', 'me', 'now', 'stay', 'woke', 'nigga', 'creepin', ""'"", 'now', 'do', ""n't"", 'you', 'close', 'your', 'eye', 'but', 'stay', 'woke', 'nigga', 'creepin', ""'"", 'they', 'gon', ""'"", 'find', 'you', 'gon', ""'"", 'catch', 'you', 'sleepin', ""'"", 'ooh', 'now', 'stay', 'woke', 'nigga', 'creepin', ""'"", 'now', 'do', ""n't"", 'you', 'close', 'your', 'eye', 'babi', 'get', 'so', 'scandal', 'oh', 'how', ""'d"", 'it', 'get', 'so', 'scandal', '?', 'Oh', 'oh', 'babi', 'you', '...', 'how', ""'d"", 'it', 'get', '...', 'how', ""'d"", 'it', 'get', 'so', 'scandal', '?', 'ooh', 'we', 'get', 'so', 'scandal', 'but', 'stay', 'woke', 'but', 'stay', 'woke']"
60,tom misch,It Runs Through Me,"['one', 'two', 'three', 'four', 'I', 'love', 'the', 'way', 'it', 'flow', 'I', 'love', 'the', 'way', 'it', 'grow', 'there', ""'s"", 'someth', 'in', 'thi', 'sound', 'that', 'take', 'me', 'far', 'It', ""'s"", 'like', 'a', 'special', 'song', 'can', 'move', 'my', 'mood', 'along', 'but', 'I', 'can', 'not', 'say', 'you', ""'ll"", 'hear', 'through', 'my', 'guitar', 'she', 'told', 'me', 'add', 'a', 'basslin', 'and', 'everyth', 'will', 'be', 'alright', 'she', 'told', 'me', 'that', 'the', 'groov', 'is', 'mine', 'will', 'take', 'us', 'through', 'the', 'night', 'and', 'where', 'I', ""'ll"", 'go', 'Ca', ""n't"", 'explain', 'I', ""'ll"", 'never', 'know', 'but', 'it', ""'s"", 'beauti', 'you', 'ca', ""n't"", 'take', 'thi', 'away', 'from', 'me', 'the', 'way', 'I', 'hit', 'the', 'melodi', 'the', 'wave', 'bring', 'clariti', 'run', 'through', 'me', 'you', 'ca', ""n't"", 'take', 'thi', 'away', 'from', 'me', 'the', 'way', 'I', 'hit', 'the', 'melodi', 'the', 'wave', 'bring', 'clariti', 'run', 'through', 'me', 'I', 'love', 'the', 'way', 'it', 'sing', 'all', 'the', 'joy', 'that', 'it', 'bring', 'rememb', 'skate', 'down', 'the', 'road', 'toward', 'the', 'park', '?', 'I', 'can', 'never', 'say', 'no', 'you', 'with', 'that', 'summer', 'glow', 'the', 'music', 'give', 'me', 'sun', 'when', 'winter', 'star', 'she', 'told', 'me', 'add', 'a', 'basslin', 'and', 'everyth', 'will', 'be', 'alright', 'she', 'told', 'me', 'that', 'the', 'beat', 'is', 'mine', 'will', 'take', 'us', 'through', 'the', 'night', 'and', 'where', 'I', ""'ll"", 'go', 'Ca', ""n't"", 'explain', 'I', ""'ll"", 'never', 'know', 'but', 'it', ""'s"", 'beauti', 'you', 'ca', ""n't"", 'take', 'thi', 'away', 'from', 'me', '(', 'oh', ')', 'the', 'way', 'I', 'hit', 'the', 'melodi', 'the', 'wave', 'bring', 'clariti', 'run', 'through', 'me', 'you', 'ca', ""n't"", 'take', 'thi', 'away', 'from', 'me', '(', 'oh', ')', 'the', 'way', 'I', 'hit', 'the', 'melodi', 'the', 'wave', 'bring', 'clariti', 'run', 'through', 'me', 'you', 'ca', ""n't"", 'take', 'thi', 'away', 'from', 'me', '(', 'oh', ')', 'the', 'way', 'I', 'hit', 'the', 'melodi', 'the', 'wave', 'bring', 'clariti', 'run', 'through', 'me', 'you', 'ca', ""n't"", 'take', 'thi', 'away', 'from', 'me', '(', 'oh', ')', 'the', 'way', 'I', 'hit', 'the', 'melodi', 'the', 'wave', 'bring', 'clariti', 'run', 'through', 'me', 'Yo', 'I', 'wear', 'note', 'like', 'coat', 'blue', 'like', 'doo', 'war', 'for', 'the', 'rhythm', 'soul', 'that', 'glue', 'that', 'bounc', 'to', 'my', 'bone', 'that', 'jazz', 'in', 'my', 'spine', 'the', 'hop', 'is', 'my', 'home', 'rap', 'is', 'my', 'grind', 'I', ""'m"", 'grindin', ""'"", 'on', 'the', 'back', 'side', 'of', 'life', 'we', 'danc', 'she', 'threw', 'me', 'a', 'chanc', 'my', 'hand', 'in', 'my', 'pant', 'actual', 'my', 'pocket', 'holdin', ""'"", 'me', 'tight', 'whisper', 'a', 'dream', 'I', 'could', 'hold', 'in', 'the', 'night', 'look', 'tight', 'a', 'rhythm', 'that', ""'s"", 'throbbin', ""'"", 'my', 'vein', 'wake', 'up', 'and', 'put', 'it', 'on', 'the', 'pad', 'the', 'pain', 'like', 'church', 'the', 'organ', 'will', 'invit', 'the', 'tear', 'like', 'birth', 'I', ""'m"", 'cryin', ""'"", 'so', 'you', 'know', 'I', ""'m"", 'here', 'held', 'by', 'the', 'song', 'that', 'gave', 'me', 'a', 'name', 'dress', 'by', 'the', 'vers', 'that', 'gave', 'me', 'a', 'claim', '(', 'there', ""'s"", 'just', 'a', 'baselin', ')', 'safe', 'to', 'inhal', 'and', 'if', 'you', ""'re"", 'well', 'belong', 'year', 'in', 'thi', 'state', 'you', 'will', 'be', 'A', 'timeless', 'octav', 'to', 'play', 'for', 'the', 'tree', 'that', ""'s"", 'root', 'in', 'everi', 'singl', 'nerv', 'in', 'me', 'the', 'nerv', 'of', 'he', 'who', 'ignor', 'the', 'key', 'and', 'use', 'it', 'to', 'open', 'the', 'mind', 'that', 'be', 'free', 'whenev', 'you', ""'re"", 'hot', 'head', 'ignor', 'you', 'you', 'are', 'free', 'beneath', 'the', 'cloud', 'you', 'allow', 'to', 'in', 'clariti', 'through', 'harmoni', 'someon', 'harmin', ""'"", 'me', '?', 'that', 'wo', ""n't"", 'be', 'done', 'I', 'stand', 'protect', 'by', 'the', 'law', 'of', 'fun', 'I', 'am', 'perfect', 'by', 'the', 'rhyme', 'of', 'run', 'walkin', ""'"", 'thi', 'way', 'had', 'the', 'parti', 'stun', 'thi', 'music', 'it', 'launch', 'me', 'with', 'no', 'aim', 'I', ""'ve"", 'land', 'with', 'some', 'plane', 'where', 'I', 'am', 'I', 'ca', ""n't"", 'explain', 'or', 'ever', 'know', 'but', 'it', ""'s"", 'beauti', 'so', '...', 'you', 'ca', ""n't"", 'take', 'thi', 'away', 'from', 'me', 'the', 'way', 'I', 'hit', 'the', 'melodi', 'the', 'wave', 'bring', 'clariti', 'run', 'through', 'me', 'you', 'ca', ""n't"", 'take', 'thi', 'away', 'from', 'me', 'the', 'way', 'I', 'hit', 'the', 'melodi', 'the', 'wave', 'bring', 'clariti', 'run', 'through', 'me']"
61,aloe blacc,i need a dollar,"['I', 'need', 'a', 'dollar', 'dollar', 'a', 'dollar', 'is', 'what', 'I', 'need', 'hey', 'hey', 'well', 'I', 'need', 'a', 'dollar', 'dollar', 'a', 'dollar', 'is', 'what', 'I', 'need', 'hey', 'hey', 'and', 'I', 'said', 'I', 'need', 'dollar', 'dollar', 'a', 'dollar', 'is', 'what', 'I', 'need', 'and', 'if', 'I', 'share', 'with', 'you', 'my', 'stori', 'would', 'you', 'share', 'your', 'dollar', 'with', 'me', 'bad', 'time', 'are', 'come', 'and', 'I', 'reap', 'what', 'I', 'do', ""n't"", 'sow', 'hey', 'hey', 'well', 'let', 'me', 'tell', 'you', 'somth', 'all', 'that', 'glitter', 'ai', ""n't"", 'gold', 'hey', 'hey', 'It', ""'s"", 'been', 'a', 'long', 'old', 'troubl', 'long', 'old', 'troublesom', 'road', 'and', 'I', ""'m"", 'look', 'for', 'somebodi', 'come', 'and', 'help', 'me', 'carri', 'thi', 'load', 'I', 'need', 'a', 'dollar', 'dollar', 'a', 'dollar', 'that', ""'s"", 'what', 'I', 'need', 'hey', 'hey', 'well', 'I', 'need', 'a', 'dollar', 'dollar', 'a', 'dollar', 'that', ""'s"", 'what', 'I', 'need', 'well', 'I', 'do', ""n't"", 'know', 'if', 'I', ""'m"", 'walk', 'on', 'solid', 'ground', 'caus', 'everyth', 'around', 'me', 'is', 'fall', 'down', 'and', 'all', 'I', 'want', 'is', 'for', 'someon', 'to', 'help', 'me', 'I', 'had', 'a', 'job', 'but', 'the', 'boss', 'man', 'let', 'me', 'go', 'He', 'said', 'I', ""'m"", 'sorri', 'but', 'I', 'wo', ""n't"", 'be', 'need', 'your', 'help', 'no', 'more', 'I', 'said', 'pleas', 'mister', 'boss', 'man', 'I', 'need', 'thi', 'job', 'more', 'than', 'you', 'know', 'but', 'he', 'gave', 'me', 'my', 'last', 'paycheck', 'and', 'he', 'sent', 'me', 'on', 'out', 'the', 'door', 'well', 'I', 'need', 'a', 'dollar', 'dollar', 'a', 'dollar', 'that', ""'s"", 'what', 'I', 'need', 'hey', 'hey', 'said', 'I', 'need', 'a', 'dollar', 'dollar', 'a', 'dollar', 'that', ""'s"", 'what', 'I', 'need', 'hey', 'hey', 'and', 'I', 'need', 'a', 'dollar', 'dollar', 'a', 'dollar', 'that', ""'s"", 'what', 'I', 'need', 'and', 'if', 'I', 'share', 'with', 'you', 'my', 'stori', 'would', 'you', 'share', 'your', 'dollar', 'with', 'me', 'well', 'i', 'do', ""n't"", 'know', 'if', 'i', ""'m"", 'walk', 'on', 'solid', 'ground', 'caus', 'everyth', 'around', 'me', 'is', 'crumbl', 'down', 'and', 'all', 'I', 'want', 'is', 'for', 'someon', 'to', 'help', 'me', 'what', 'in', 'the', 'world', 'am', 'I', 'gon', 'na', 'to', 'do', 'tomorrow', '?', 'Is', 'there', 'someon', 'with', 'a', 'dollar', 'that', 'I', 'can', 'borrow', '?', 'who', 'can', 'help', 'me', 'take', 'away', 'my', 'sorrow', '?', 'mayb', 'it', 'insid', 'the', 'bottl', 'mayb', 'it', 'insid', 'the', 'bottl', 'I', 'had', 'some', 'good', 'old', 'buddi', 'name', 'of', 'whiskey', 'and', 'wine', 'hey', 'hey', 'and', 'for', 'my', 'good', 'old', 'buddi', 'I', 'spent', 'my', 'last', 'dime', 'hey', 'hey', 'My', 'wine', 'is', 'good', 'to', 'me', 'it', 'help', 'me', 'pass', 'the', 'time', 'and', 'my', 'good', 'old', 'buddi', 'whiskey', 'keep', 'me', 'warmer', 'than', 'sunshin', 'hey', 'hey', 'your', 'mom', 'of', 'mayhem', 'bless', 'the', 'child', 'that', ""'s"", 'got', 'hi', 'own', 'hey', 'hey', 'If', 'god', 'ha', 'plan', 'for', 'me', 'I', 'hope', 'it', 'ai', ""n't"", 'written', 'in', 'stone', 'hey', 'hey', 'becaus', 'I', ""'ve"", 'been', 'work', 'work', 'myself', 'down', 'to', 'the', 'bone', 'and', 'I', 'swear', 'on', 'grandpa', ""'s"", 'grave', 'I', ""'ll"", 'be', 'paid', 'when', 'I', 'come', 'home', 'hey', 'hey', 'well', 'I', 'need', 'a', 'dollar', 'dollar', 'a', 'dollar', 'that', ""'s"", 'what', 'I', 'need', 'hey', 'hey', 'said', 'need', 'a', 'dollar', 'dollar', 'a', 'dollar', 'that', ""'s"", 'what', 'I', 'need', 'hey', 'hey', 'well', 'I', 'need', 'a', 'dollar', 'dollar', 'a', 'dollar', 'is', 'what', 'I', 'need', 'and', 'if', 'I', 'share', 'with', 'you', 'my', 'stori', 'would', 'you', 'share', 'your', 'dollar', 'with', 'me', 'come', 'on', 'share', 'your', 'dollar', 'with', 'me', 'go', 'head', 'share', 'your', 'dollar', 'with', 'me', 'come', 'on', 'share', 'your', 'dollar', 'give', 'me', 'your', 'dollar', 'share', 'your', 'dollar', 'with', 'me']"
62,gnarls barkley,crazy,"['I', 'rememb', 'when', 'I', 'rememb', 'I', 'rememb', 'when', 'I', 'lost', 'my', 'mind', 'there', 'wa', 'someth', 'so', 'pleasant', 'about', 'that', 'place', 'even', 'your', 'emot', 'have', 'an', 'echo', 'in', 'so', 'much', 'space', 'and', 'when', 'you', ""'re"", 'out', 'there', 'without', 'care', 'yeah', 'I', 'wa', 'out', 'of', 'touch', 'but', 'it', 'wa', ""n't"", 'becaus', 'I', 'did', ""n't"", 'know', 'enough', 'I', 'just', 'knew', 'too', 'much', 'doe', 'that', 'make', 'me', 'crazi', 'doe', 'that', 'make', 'me', 'crazi', 'doe', 'that', 'make', 'me', 'crazi', 'possibl', 'and', 'I', 'hope', 'that', 'you', 'are', 'have', 'the', 'time', 'of', 'your', 'life', 'but', 'think', 'twice', 'that', ""'s"", 'my', 'onli', 'advic', 'come', 'on', 'now', 'who', 'do', 'you', 'who', 'do', 'you', 'who', 'do', 'you', 'who', 'do', 'you', 'think', 'you', 'are', 'Ha', 'ha', 'ha', 'bless', 'your', 'soul', 'you', 'realli', 'think', 'you', ""'re"", 'in', 'control', 'I', 'think', 'you', ""'re"", 'crazi', 'I', 'think', 'you', ""'re"", 'crazi', 'I', 'think', 'you', ""'re"", 'crazi', 'just', 'like', 'me', 'My', 'hero', 'had', 'the', 'heart', 'to', 'lose', 'their', 'live', 'out', 'on', 'the', 'limb', 'all', 'I', 'rememb', 'is', 'think', 'I', 'want', 'to', 'be', 'like', 'them', 'ever', 'sinc', 'I', 'wa', 'littl', 'ever', 'sinc', 'I', 'wa', 'littl', 'It', 'look', 'like', 'fun', 'and', 'it', ""'s"", 'no', 'coincid', 'I', ""'ve"", 'come', 'and', 'I', 'can', 'die', 'when', 'I', ""'m"", 'done', 'but', 'mayb', 'I', ""'m"", 'crazi', 'mayb', 'you', ""'re"", 'crazi', 'mayb', 'we', ""'re"", 'crazi', 'probabl']"
